AREACD,AREANM,% difference between SPDv1.0 & Census 2011,% difference between SPDv2.0 & Census 2011,% difference between SPDv1.0 & Official estimates 2015,% difference between SPDv2.0 & Official estimates 2015
E06000001,Hartlepool,1.493584607,1.831086114,2.300541672,3.070481014
E06000002,Middlesbrough,6.118298987,6.310464389,7.469961127,8.334670859
E06000003,Redcar and Cleveland,4.054612848,3.81849571,3.967952617,4.233074789
E06000004,Stockton-on-Tees,-2.633868838,-1.717701586,-1.115206607,-0.245768266
E06000005,Darlington,-1.30857115,-0.203194306,1.758513728,2.805480678
E06000006,Halton,1.943269786,2.648796836,3.277987456,4.137831984
E06000007,Warrington,0.039033166,1.516353868,0.894787093,2.224161311
E06000008,Blackburn with Darwen,2.417704318,3.109972866,7.101406884,7.842280961
E06000009,Blackpool,10.00260158,10.01709646,11.59220222,11.92168675
E06000010,"Kingston upon Hull, City of",0.690667177,0.868687934,2.356067142,3.117349778
E06000011,East Riding of Yorkshire,-1.001319634,0.194101908,-1.065730895,-0.146276816
E06000012,North East Lincolnshire,-0.583768614,-0.270920192,0.850633555,1.318428197
E06000013,North Lincolnshire,-4.176092606,-3.348047789,-2.784887477,-2.127064025
E06000014,York,-1.835993702,-0.763336688,-4.048265536,-2.881900507
E06000015,Derby,0.060706246,1.003032716,2.793508832,3.91793156
E06000016,Leicester,1.815165581,2.422301825,5.077978105,6.261454056
E06000017,Rutland,-9.243779688,-8.238122521,-9.088314206,-6.53546751
E06000018,Nottingham,-2.20338261,-1.862630141,-1.567479514,-0.224925043
E06000019,"Herefordshire, County of",-4.088052368,-2.79177224,-5.032167083,-3.818827241
E06000020,Telford and Wrekin,-1.738232496,-1.027699015,1.19306616,2.266825532
E06000021,Stoke-on-Trent,2.094279673,2.516030088,5.090419963,5.839151432
E06000022,Bath and North East Somerset,1.972245647,2.320289057,0.238547338,1.185311041
E06000023,"Bristol, City of",-0.560200212,0.316164592,0.058049363,2.05998833
E06000024,North Somerset,2.664227966,4.139930652,1.472884156,2.685030348
E06000025,South Gloucestershire,-0.587091991,1.031166022,-2.24729831,-0.736603982
E06000026,Plymouth,5.497030968,5.417383343,1.426559878,2.051659553
E06000027,Torbay,6.107465707,6.501876124,3.874004534,4.725745081
E06000028,Bournemouth,-0.693915222,-0.112223483,-2.135781133,-0.690754522
E06000029,Poole,0.327753769,1.74220864,0.504849946,1.704865906
E06000030,Swindon,-0.939404123,0.576769565,1.350453047,2.906358484
E06000031,Peterborough,2.302565522,3.688403347,10.47487172,12.12647076
E06000032,Luton,-0.626607181,0.584382942,2.325723114,3.83304739
E06000033,Southend-on-Sea,-0.261859541,1.200601116,0.587677834,2.27773157
E06000034,Thurrock,-5.355665344,-2.879132599,-1.963410478,0.623304911
E06000035,Medway,-5.337366263,-4.155980743,-3.024343608,-1.799835008
E06000036,Bracknell Forest,-3.662255282,-1.003482137,-4.456506054,-2.278731312
E06000037,West Berkshire,-1.298529461,0.253235611,1.212044605,2.660558987
E06000038,Reading,2.019108749,3.771501162,7.98378867,10.7232097
E06000039,Slough,-6.144089094,-3.786815089,1.445954968,4.123562071
E06000040,Windsor and Maidenhead,-3.76769782,-1.943201489,-2.004021505,0.21840922
E06000041,Wokingham,-0.252320297,1.981881158,0.215022865,1.815391921
E06000042,Milton Keynes,-2.96826387,-0.569652798,2.184972676,4.428289866
E06000043,Brighton and Hove,-0.849309146,-0.428734706,-2.217814342,-0.967248625
E06000044,Portsmouth,-0.784960176,-0.42679065,-2.117467981,-1.046983766
E06000045,Southampton,0.610678754,1.206144826,-0.793575354,0.574895178
E06000046,Isle of Wight,-2.055253372,-1.056171917,-0.526882528,-0.113255142
E06000047,County Durham,0.493827906,1.305952362,0.248305715,0.973741111
E06000057,Northumberland,-1.236387953,-0.509324416,-0.475180477,0.212279839
E06000049,Cheshire East,-1.211451212,0.07325278,0.964070593,2.174987272
E06000050,Cheshire West and Chester,2.803009638,3.730751653,4.823466991,6.333819492
E06000051,Shropshire,-7.525917485,-6.086990738,-6.096765418,-4.642976395
E06000052,Cornwall,1.648384967,2.652632783,-0.652475023,0.343884684
E06000053,Isles of Scilly,-3.894689027,-3.66100775,-9.598967321,-8.122203118
E06000054,Wiltshire,-3.026985733,-0.969888863,-2.326747394,-0.503051921
E06000055,Bedford,0.094801278,1.557137182,3.035606231,4.852222003
E06000056,Central Bedfordshire,-1.007145968,1.03547833,-3.370354244,-1.268109929
E07000004,Aylesbury Vale,-4.202863236,-2.046740296,-7.129274552,-4.869549142
E07000005,Chiltern,-0.78913589,0.987346074,-0.343036637,1.187015716
E07000006,South Bucks,-4.290833976,-0.631306962,-3.321770852,-0.573489602
E07000007,Wycombe,-2.491361215,-0.653832379,-1.712802577,0.024371147
E07000008,Cambridge,-4.374956929,-3.894238234,2.071149709,3.396423373
E07000009,East Cambridgeshire,-7.450098942,-5.537927366,-4.176688916,-2.889286
E07000010,Fenland,-0.255791422,0.886263206,3.03675475,4.14936625
E07000011,Huntingdonshire,-5.639754978,-4.13744005,-2.422482005,-1.214183256
E07000012,South Cambridgeshire,-2.653221714,-0.095746622,-2.027452112,-0.108573894
E07000026,Allerdale,-0.355935294,0.377291429,-0.401216587,0.5450155
E07000027,Barrow-in-Furness,3.579191444,4.068504898,4.826607443,5.263772514
E07000028,Carlisle,-0.719761099,0.126077952,0.780613033,1.313714516
E07000029,Copeland,-2.744025055,-2.141263067,-2.232251221,-1.744408208
E07000030,Eden,-2.758579996,-1.821642108,-2.118679649,-1.302547303
E07000031,South Lakeland,-1.837542736,-0.534708346,-1.385021352,1.33E-02
E07000032,Amber Valley,-1.920712279,-0.871265366,-1.908679859,-1.015196411
E07000033,Bolsover,-1.029156586,-0.13118923,-0.573617959,0.322108472
E07000034,Chesterfield,-1.081304281,-0.484437439,-0.928615974,0.259683653
E07000035,Derbyshire Dales,-2.919680478,-1.496034712,-1.669087134,-0.70912087
E07000036,Erewash,-1.520318342,-0.396538256,-1.774293893,-0.816714756
E07000037,High Peak,-0.364375268,0.760845914,-0.650795746,0.613285873
E07000038,North East Derbyshire,-1.15933063,-0.415903316,-0.795664412,-0.390943238
E07000039,South Derbyshire,-5.314265814,-3.585769044,-5.763827612,-4.084438987
E07000040,East Devon,1.291628224,2.528844833,-0.817373528,0.457132962
E07000041,Exeter,0.587187229,1.427899387,-6.91478931,-5.178678476
E07000042,Mid Devon,-1.249203899,0.218500339,-1.433057512,-0.52444718
E07000043,North Devon,3.557786575,4.592878976,2.631253482,3.374710139
E07000044,South Hams,3.318893464,4.369463498,1.344846703,2.397158821
E07000045,Teignbridge,2.007203312,3.25738842,0.343663492,1.711657662
E07000046,Torridge,1.499910641,2.580491628,-0.49202439,0.486845159
E07000047,West Devon,-1.140731592,0.586387402,-1.744870842,-0.861391846
E07000048,Christchurch,3.58E-03,1.631479278,-0.139918865,0.870994925
E07000049,East Dorset,1.185131891,2.529724969,0.961610021,1.826478826
E07000050,North Dorset,-3.695568848,-2.0316872,-4.271010916,-2.225293871
E07000051,Purbeck,-2.731985942,-0.747861972,-2.513918378,-0.709244422
E07000052,West Dorset,-0.425265984,0.485771286,0.446258498,1.538058694
E07000053,Weymouth and Portland,-0.389718701,-0.094796473,1.703728884,2.506877802
E07000061,Eastbourne,-3.051832727,-1.838349427,-1.728309211,-0.267954944
E07000062,Hastings,-2.958423983,-2.015378851,-0.72955843,0.43135847
E07000063,Lewes,-3.715283801,-2.002838838,-3.178314282,-1.884834151
E07000064,Rother,-2.528877952,-0.85053643,-2.8739139,-1.512683515
E07000065,Wealden,-4.58629417,-2.711444736,-4.200609613,-2.703916301
E07000066,Basildon,0.572337652,2.127089936,1.955655016,3.773441786
E07000067,Braintree,-2.683364627,-1.156180225,-2.25627299,-1.029417418
E07000068,Brentwood,-1.827888176,0.366043907,-0.751315422,1.656052741
E07000069,Castle Point,4.441544765,4.858792567,3.554273237,4.381743366
E07000070,Chelmsford,-1.384545162,-0.082583358,-1.175887112,0.236568961
E07000071,Colchester,1.605211608,3.259997426,0.695956747,2.566457322
E07000072,Epping Forest,1.536235615,4.048448976,1.417241311,4.560050009
E07000073,Harlow,5.118012385,6.190198186,7.141543609,8.751103733
E07000074,Maldon,1.985279696,3.25775204,1.096721512,0.631777318
E07000075,Rochford,-0.914793422,0.306991542,-1.616358229,0.064493114
E07000076,Tendring,4.830476336,5.808753522,5.00155124,6.112466818
E07000077,Uttlesford,-4.177516028,-1.836033342,-4.447298513,-2.820385511
E07000078,Cheltenham,-5.155473008,-4.087903076,-1.96901888,-0.412906151
E07000079,Cotswold,-2.47003288,-0.939978983,-0.07052434,1.489072556
E07000080,Forest of Dean,0.295208628,1.633069324,-0.728666796,0.681983359
E07000081,Gloucester,-0.882762395,0.345490174,0.738177726,2.321143796
E07000082,Stroud,-0.289096408,1.011837341,-0.272201186,0.943140026
E07000083,Tewkesbury,-1.141305594,0.975868608,-2.476538236,-0.981530722
E07000084,Basingstoke and Deane,-1.649537776,0.618704486,0.19937878,1.839812317
E07000085,East Hampshire,0.063826105,1.853923672,0.914118691,2.155227532
E07000086,Eastleigh,-4.105000786,-2.087451194,-3.346164822,-2.082708342
E07000087,Fareham,-1.15034634,7.68E-03,-2.33186708,-1.092688912
E07000088,Gosport,-3.183931608,-2.411314105,-3.021726193,-2.211068574
E07000089,Hart,0.390201412,2.299737383,0.570099644,2.16710963
E07000090,Havant,0.342676792,0.816167867,-0.583507267,0.265230623
E07000091,New Forest,-0.545542998,0.877147471,-1.123404282,-0.074765777
E07000092,Rushmoor,-0.023780671,1.78355566,3.26670304,4.659776378
E07000093,Test Valley,-2.559301774,-0.869808826,0.284313058,1.765584163
E07000094,Winchester,-3.541057463,-1.402588387,-1.677669536,-0.486239754
E07000095,Broxbourne,3.67E-03,1.867986978,2.220418372,4.085926588
E07000096,Dacorum,-3.366912635,-1.548400682,-3.005692747,-1.502279407
E07000242,East Hertfordshire,-4.47672757,-1.773492006,-4.172640701,-1.962409878
E07000098,Hertsmere,0.077196148,1.928186317,2.713998316,4.849876746
E07000099,North Hertfordshire,-2.871384688,-0.966578012,-2.023560396,-0.595471391
E07000240,St Albans,-1.981163699,-0.04757713,0.02000856,2.045589374
E07000243,Stevenage,-0.175775714,1.451171436,1.686847391,3.203025368
E07000102,Three Rivers,-0.827371459,1.05141036,-0.548452133,1.79510434
E07000103,Watford,-4.188285816,-0.938753759,1.196178469,4.914656261
E07000241,Welwyn Hatfield,-0.931469682,0.864714365,-5.587063997,-3.643486532
E07000105,Ashford,-0.311322898,1.668632394,-0.64634856,0.94880643
E07000106,Canterbury,-1.321528322,-0.188465363,-4.264120318,-2.671109298
E07000107,Dartford,-6.009921403,-3.796296332,-6.058491582,-3.442174507
E07000108,Dover,-4.31942614,-3.257624885,-5.819620607,-4.054032497
E07000109,Gravesham,-3.232261032,-1.69710581,-2.602274704,-0.786171157
E07000110,Maidstone,-3.18881809,-1.311806496,-5.07709591,-3.641697602
E07000111,Sevenoaks,-2.273203733,-0.043313384,-3.989686615,-2.523081818
E07000112,Shepway,-3.647546932,-2.363356195,-5.297682562,-3.987687475
E07000113,Swale,-0.840092682,0.942419821,-1.457943973,-0.026508082
E07000114,Thanet,1.98217408,3.284014734,0.556154227,2.310557278
E07000115,Tonbridge and Malling,-3.027023657,-1.465926119,-4.565971753,-2.940240046
E07000116,Tunbridge Wells,-10.50490481,-9.587608774,-9.347572634,-8.095718374
E07000117,Burnley,5.183932697,5.865925322,6.603097129,7.321935192
E07000118,Chorley,-4.325431453,-2.706397294,-4.734725424,-3.179268721
E07000119,Fylde,-0.362421946,1.200522695,-1.2050749,0.392814536
E07000120,Hyndburn,3.92154477,4.593202442,5.195398151,6.087321068
E07000121,Lancaster,4.862464979,5.425474283,-0.255681941,0.607847698
E07000122,Pendle,0.811460879,1.446433903,3.61820419,4.509425092
E07000123,Preston,3.403800286,4.539624289,4.142387278,4.913544121
E07000124,Ribble Valley,-1.669985288,-0.381453415,-1.578672982,-0.463625105
E07000125,Rossendale,0.928904777,1.96382575,0.832230485,2.15095778
E07000126,South Ribble,0.734819342,1.224174494,1.705812108,2.336493073
E07000127,West Lancashire,3.127047066,3.97818667,3.750353864,4.856890896
E07000128,Wyre,1.047924306,2.48125552,-0.428433205,0.429996824
E07000129,Blaby,-1.138335713,-1.46E-02,-1.436161756,-0.300385285
E07000130,Charnwood,1.22010603,2.362728482,-3.656890037,-2.351828965
E07000131,Harborough,-3.728162896,-1.772635894,-4.457018108,-2.998252686
E07000132,Hinckley and Bosworth,-0.372340597,0.823068589,-0.877176472,0.441743531
E07000133,Melton,-2.064268721,-0.981038573,-0.593211762,0.28312387
E07000134,North West Leicestershire,-2.417909894,-1.32553604,-3.135656581,-1.85457232
E07000135,Oadby and Wigston,0.791247943,1.7260815,2.049991944,4.152232484
E07000136,Boston,3.185791409,4.1601127,7.068990443,8.156527408
E07000137,East Lindsey,4.692546316,5.90782764,3.861675074,4.970522185
E07000138,Lincoln,3.105790974,3.37546106,3.29003858,4.143928246
E07000139,North Kesteven,-1.496798675,0.361460986,-2.098294598,-0.541445876
E07000140,South Holland,-2.02762886,-0.70179681,-0.818361258,0.472203904
E07000141,South Kesteven,-0.823446109,0.555377222,0.396544434,1.390994062
E07000142,West Lindsey,-0.334547928,1.047865619,-1.190690873,0.053618136
E07000143,Breckland,-5.030002006,-3.675517903,-2.676341897,-1.184278181
E07000144,Broadland,-1.561176474,-0.622267932,-0.876782306,0.104346528
E07000145,Great Yarmouth,2.450244139,2.885960735,5.365380478,5.902788091
E07000146,King's Lynn and West Norfolk,-2.185572074,-0.595853544,0.136359194,1.24427692
E07000147,North Norfolk,-3.807359728,-2.857210356,-4.459925699,-3.68255316
E07000148,Norwich,-0.946628311,-0.121727892,1.435848757,2.729595554
E07000149,South Norfolk,-4.19272322,-2.846347046,-3.169773235,-1.728967297
E07000150,Corby,2.638922458,4.501856159,4.291668467,5.908744499
E07000151,Daventry,0.350505527,1.798820681,0.22089639,1.419741523
E07000152,East Northamptonshire,-3.427451227,-2.230908794,-2.829853198,-1.281082202
E07000153,Kettering,1.235483278,2.551741078,2.948743512,4.140190454
E07000154,Northampton,3.237491572,4.493324378,6.69547164,8.061563796
